id,label,f01|E:url[seminar],f02|#:text[abstract],f03|#:text[location],f04|#:text[LOCATION],f05|#:text[speaker],f06|#:text[SPEAKER],f07|#:text[date|time],f08|#:text[DATE|TIME],f09|#:tag[img],f10|#:text[tbc/tba],f11|#:tag[table],f12|#:url[neg_word],f13|#:text[seminar],f14|#ratio:text[LOCATION-TIME]
69,-1,0,0,3,1,2,0,1,3,6,0,0,0,0,0
127,-1,1,17,1,8,17,2,3,2,1,0,1,1,9,4
128,-1,0,17,1,3,17,1,2,0,1,0,1,1,2,3
135,-1,1,1,1,0,0,0,1,0,12,0,2,0,9,0
137,-1,1,1,1,0,0,0,1,0,12,0,2,1,18,0
144,-1,1,1,1,0,0,0,0,0,12,0,2,1,26,0
146,-1,2,1,3,0,0,0,0,0,12,0,2,0,14,0
194,-1,0,0,9,9,0,0,1,1,2,0,1,0,1,9
251,-1,0,0,1,1,2,0,4,0,0,0,0,0,0,1
260,-1,0,100,28,64,26,1,67,151,268,0,0,0,17,0
308,-1,0,0,7,0,22,0,10,1,6,0,0,0,41,0
346,-1,0,0,2,3,0,0,2,2,7,0,2,0,2,1
662,-1,0,0,13,7,0,0,4,0,5,0,0,0,9,7
696,-1,0,0,2,0,0,3,1,5,1,0,0,0,4,0
1349,-1,0,0,13,1,5,4,9,4,13,0,0,0,3,0
1371,-1,0,0,8,0,26,3,12,2,4,0,0,0,45,0
1448,-1,0,0,24,13,3,0,6,8,0,0,0,0,7,1
1463,-1,0,0,26,14,5,0,6,5,1,0,0,0,4,2
1495,-1,0,0,4,2,0,0,0,0,1,0,0,0,1,2
1648,-1,0,0,14,8,5,0,6,0,5,0,0,0,9,8
1702,-1,0,0,2,1,0,0,0,7,19,0,2,0,1,0
1929,2,1,1,14,7,4,11,1,25,16,0,0,0,16,0
1995,-1,0,0,2,3,0,0,2,3,11,0,1,0,1,1
2028,-1,0,0,2,3,0,0,3,3,2,0,0,0,1,1
2191,-1,0,0,0,0,0,0,1,0,5,0,0,0,2,0
2192,-1,0,0,1,2,6,1,1,0,1,0,0,0,1,2
2370,-1,0,0,0,0,1,0,1,0,1,0,0,0,1,0
2381,-1,0,0,2,1,1,0,1,3,0,0,0,0,1,0
2382,-1,0,0,3,7,1,0,5,1,1,0,0,0,2,7
2383,-1,0,0,0,0,13,2,2,1,1,0,0,0,7,0
2389,-1,0,0,0,0,0,0,1,1,0,0,0,0,1,0
2391,-1,0,0,0,0,1,0,1,1,0,0,0,0,1,0
2394,-1,0,0,2,1,1,0,1,2,0,0,0,0,1,0
2397,-1,0,0,2,1,1,0,1,3,0,0,0,0,1,0
2430,-1,0,0,8,5,3,0,3,4,3,0,1,0,5,1
2433,-1,0,0,2,0,2,0,2,0,1,0,0,0,1,0
2434,-1,0,0,4,0,2,3,1,0,1,0,0,0,2,0
2448,-1,0,0,0,0,0,0,2,0,1,0,0,0,2,0
2450,-1,0,0,0,0,1,0,2,0,1,0,0,0,1,0
2467,-1,1,0,3,2,1,0,1,3,5,0,3,0,6,0
2534,1,2,0,9,8,0,1,7,8,3,0,0,0,15,1
2543,1,1,0,8,7,0,0,10,7,2,0,2,0,12,1
2547,1,2,0,9,8,0,0,7,7,3,0,0,0,14,1
2584,-1,1,0,0,1,0,0,0,0,2,0,0,0,8,1
2587,-1,0,0,0,1,3,40,0,0,2,0,1,0,1,1
2834,-1,0,0,0,1,0,0,2,1,5,0,1,0,3,1
2837,-1,0,0,0,2,0,0,3,3,10,0,1,0,1,0
2926,2,1,0,11,6,0,12,5,24,16,0,0,0,13,0
2935,2,1,0,8,1,2,2,4,22,20,0,0,0,18,0
2937,2,1,0,14,1,3,8,2,29,16,0,0,0,11,0
2938,2,1,0,15,10,3,12,6,34,16,0,0,0,16,0
2939,2,1,6,35,4,12,41,36,55,24,0,0,0,57,0
2940,2,1,1,5,0,7,18,3,39,16,0,0,0,14,0
3002,-1,0,0,7,7,0,0,0,8,28,0,2,0,5,0
3004,2,2,0,3,1,0,2,0,19,13,0,1,0,17,0
3016,1,2,1,2,1,0,2,1,5,13,0,1,0,15,0
3020,2,2,0,2,0,0,7,0,19,13,0,1,0,15,0
3021,1,2,0,3,1,0,2,0,5,13,0,1,0,15,0
3027,2,2,0,5,3,1,3,0,9,13,0,1,0,17,0
3029,2,2,0,4,1,0,2,0,21,13,0,1,0,16,0
3040,2,2,0,6,5,0,4,0,7,13,0,1,0,21,0
3042,2,3,0,10,4,1,0,2,4,18,0,1,0,25,1
3137,-1,0,0,6,8,3,0,2,2,12,0,0,0,6,4
3176,-1,0,0,7,0,0,0,1,2,3,0,0,0,0,0
3233,-1,0,0,1,2,4,3,1,0,3,0,0,1,1,2
3256,-1,0,0,2,3,2,0,1,3,5,0,0,1,2,1
3259,-1,0,1,2,3,7,0,9,2,25,0,0,1,6,1
3263,-1,0,1,4,4,6,0,10,23,12,0,0,1,6,0
3265,-1,0,0,11,0,0,0,16,0,2,0,0,0,0,0
3374,-1,0,0,0,0,3,0,1,2,1,0,0,1,4,0
3399,-1,0,1,3,6,34,0,22,2,7,0,0,1,4,3
3422,-1,0,1,2,3,13,1,11,3,5,0,0,1,6,1
3423,-1,0,1,3,2,11,0,6,0,7,0,0,1,6,2
3452,-1,0,1,2,0,1,0,0,0,8,0,0,1,5,0
3453,-1,0,1,2,1,1,0,0,0,8,0,0,1,5,1
3465,-1,0,1,2,0,1,0,0,0,8,0,0,1,6,0
3558,-1,0,2,10,5,2,0,2,8,13,0,1,0,7,0
3561,-1,0,12,23,5,14,0,3,15,14,0,0,0,14,0
3658,-1,0,1,3,0,2,0,1,1,10,0,0,1,5,0
3660,-1,0,3,2,0,4,0,7,3,16,0,0,1,8,0
3677,-1,0,1,2,0,2,1,0,0,17,0,0,1,5,0
3709,-1,0,1,2,0,1,0,0,0,18,0,0,1,5,0
3712,-1,0,1,3,0,1,1,0,3,10,0,0,1,9,0
3838,-1,0,0,1,2,3,1,0,1,1,0,0,1,0,2
3868,-1,0,0,3,4,2,3,0,1,0,0,0,1,0,4
3874,-1,0,0,1,2,3,1,0,0,0,0,0,1,1,2
3885,-1,0,6,2,3,1,2,0,0,0,0,0,1,0,3
3891,-1,0,0,1,2,2,2,0,0,0,0,0,1,0,2
3907,-1,0,7,1,4,2,4,2,0,0,0,0,1,2,4
3933,-1,0,0,1,2,4,2,1,8,4,0,0,1,6,0
3951,-1,0,0,11,0,0,0,16,0,2,0,0,0,0,0
3966,-1,0,0,1,2,4,0,2,4,1,0,0,1,6,0
3967,-1,0,0,1,2,3,0,0,3,1,0,0,1,3,0
3974,-1,1,0,1,3,6,0,0,3,1,0,0,1,10,1
4024,-1,1,0,1,3,4,0,0,1,6,0,0,1,5,3
4066,-1,0,0,2,4,1,0,0,0,0,0,0,1,0,4
4285,-1,0,0,1,1,2,0,0,0,3,0,0,1,1,1
4287,-1,0,0,1,1,2,0,2,0,4,0,0,1,1,1
4314,-1,0,0,1,1,1,0,0,0,3,0,0,1,1,1
4344,-1,0,1,11,0,0,0,15,0,3,0,1,0,0,0
4368,-1,0,0,5,15,2,0,1,1,3,0,2,0,0,15
4480,-1,0,0,1,1,2,0,3,2,12,0,0,0,2,0
4505,-1,0,1,11,0,7,0,2,2,4,0,0,0,0,0
4582,-1,0,0,26,25,0,0,8,2,3,0,3,0,2,12
4602,-1,0,0,2,3,0,0,3,2,6,0,2,0,2,1
4886,-1,1,0,6,7,1,12,4,25,0,0,0,0,7,0
4944,-1,0,0,4,7,0,0,3,3,23,0,0,0,0,2
5279,-1,0,0,7,7,2,0,0,0,6,0,1,0,1,7
5471,-1,0,0,1,0,0,0,3,5,3,0,4,0,1,0
5844,-1,0,0,0,1,0,0,1,5,5,0,0,0,2,0
6810,-1,0,0,3,0,1,0,0,0,0,0,0,0,0,0
6826,-1,0,0,2,0,0,0,0,0,2,0,3,0,0,0
6959,-1,0,1,0,1,0,0,2,3,1,0,0,0,0,0
7164,-1,0,0,1,0,14,11,4,2,5,0,0,0,1,0
7165,-1,0,1,1,0,5,1,2,0,2,0,0,0,0,0
7317,-1,0,1,0,0,3,4,0,0,0,0,0,0,1,0
7340,-1,0,3,1,0,2,0,3,1,2,0,0,0,1,0
7352,-1,0,9,9,2,3,19,13,11,5,0,0,0,1,0
7643,-1,0,0,0,0,0,0,0,0,36,0,6,0,0,0
8124,-1,0,1,0,0,1,0,1,0,12,0,0,0,0,0
8370,-1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
8953,-1,0,0,2,0,0,3,0,0,4,0,0,0,0,0
9033,-1,0,0,1,0,0,0,0,1,96,0,0,0,0,0
9710,-1,0,0,1,0,0,0,2,0,6,0,0,0,0,0
9831,-1,0,0,1,0,0,0,0,0,6,0,0,0,0,0
9856,-1,0,0,2,1,0,0,1,0,4,0,0,0,2,1
9936,-1,0,0,2,2,0,0,4,0,6,0,0,0,0,2
10437,-1,0,0,4,1,1,0,26,2,6,0,0,0,5,0
10507,-1,0,0,4,2,0,0,26,0,9,0,0,0,3,2
10623,-1,0,0,5,7,0,0,4,0,6,0,0,0,0,7
10697,-1,1,0,0,0,1,0,1,3,7,0,0,0,9,0
10999,2,1,5,29,5,3,0,15,57,42,0,11,0,20,0
11003,-1,0,0,1,1,1,0,1,0,5,0,0,0,1,1
11044,-1,1,0,1,0,1,1,2,1,9,0,1,0,5,0
11049,2,3,0,24,11,2,3,3,10,10,0,1,0,16,1
11051,2,2,0,24,10,8,4,2,10,10,0,1,0,21,1
11055,1,2,0,3,0,2,0,2,1,10,0,1,0,8,0
11058,-1,2,0,1,0,0,0,1,0,18,0,0,0,17,0
11059,2,3,0,17,7,2,6,2,7,18,0,1,0,20,1
11060,2,3,0,14,6,2,7,2,6,18,0,1,0,26,1
11061,-1,3,0,1,0,0,0,1,0,18,0,0,0,20,0
11062,-1,3,0,18,8,1,0,3,8,18,0,1,0,28,1
11064,-1,3,0,1,0,0,0,1,0,18,0,0,0,20,0
11067,2,2,0,1,0,0,0,1,0,18,0,0,0,20,0
11072,-1,0,0,4,0,0,2,0,2,11,0,0,0,3,0
11128,-1,0,0,1,0,0,0,0,0,22,0,1,0,1,0
11257,2,1,0,18,8,1,0,3,8,6,0,1,0,16,1
11264,2,1,0,17,7,2,6,2,7,6,0,1,0,8,1
11336,1,1,2,15,4,3,0,12,3,16,0,15,0,14,1
11340,1,1,2,15,4,3,0,12,2,16,0,15,0,15,2
11342,1,1,2,15,4,3,0,16,3,16,0,15,0,14,1
11394,-1,0,0,4,0,0,0,12,0,2,0,0,0,0,0
11404,-1,1,0,6,3,0,0,12,0,2,0,0,0,4,3
11558,-1,0,0,3,0,0,0,12,0,3,0,0,0,0,0
11569,-1,0,0,6,4,2,3,15,7,3,0,0,0,0,0
11719,-1,0,0,13,0,0,0,27,3,4,0,2,0,0,0
12120,-1,0,1,12,3,2,0,3,0,6,0,4,0,6,3
12189,2,1,0,6,4,7,0,1,8,1,0,2,0,10,0
12358,-1,0,2,13,3,2,5,11,5,15,0,12,0,8,0
12592,-1,0,0,3,3,0,0,0,1,6,0,2,0,2,3
12748,-1,0,0,3,0,0,0,1,0,7,0,0,0,5,0
12761,-1,0,1,34,4,33,6,31,50,26,0,0,0,6,0
12767,-1,0,1,34,4,33,6,31,50,26,0,0,0,6,0
12790,-1,1,0,15,17,2,10,1,16,7,0,0,0,19,1
12793,-1,1,0,2,0,0,0,1,0,7,0,0,0,12,0
12811,-1,0,0,2,0,0,0,1,0,7,0,0,0,5,0
12883,-1,0,0,2,5,5,1,5,2,4,0,0,0,4,2
12946,-1,0,0,0,0,1,0,1,3,4,0,0,0,5,0
12954,-1,1,0,2,0,9,18,7,24,1,0,1,0,6,0
12964,2,1,0,0,0,1,0,1,2,1,0,0,0,8,0
13006,-1,0,1,3,4,7,0,7,4,5,0,0,1,2,1
13010,2,0,3,6,4,13,0,7,12,5,0,0,1,2,0
13013,2,0,3,6,4,13,0,7,12,5,0,0,1,2,0
13018,2,0,1,6,8,11,0,7,10,7,0,0,1,3,0
13021,2,0,1,6,8,11,0,7,10,7,0,0,1,3,0
13025,-1,0,1,3,4,7,0,7,5,5,0,0,1,2,0
13028,-1,0,1,8,12,7,0,7,8,5,0,0,1,2,1
13029,-1,0,1,11,0,0,0,16,0,3,0,1,0,0,0
13033,-1,0,1,6,6,7,0,7,8,6,0,0,1,2,0
13035,-1,0,1,9,9,7,0,7,8,5,0,0,1,2,1
13040,-1,0,1,5,7,7,0,7,4,5,0,0,1,2,1
13046,-1,0,1,5,9,7,0,7,10,5,0,0,1,2,0
13054,-1,0,1,3,5,7,0,7,8,5,0,0,1,3,0
13057,1,0,1,3,5,7,0,10,8,5,0,0,1,3,0
13063,1,0,1,3,5,7,0,10,8,5,0,0,1,3,0
13151,-1,0,1,3,12,7,0,7,5,6,0,0,1,2,2
13248,-1,0,1,4,14,8,0,9,14,9,0,0,1,4,1
13253,-1,0,1,4,8,8,0,8,4,6,0,0,1,2,2
13304,-1,0,1,3,4,7,0,8,4,5,0,0,1,2,1
13308,1,0,2,11,7,11,0,8,10,5,0,0,1,4,0
13339,-1,0,1,3,9,7,0,13,4,9,0,0,1,2,2
13341,-1,0,1,3,5,7,0,13,15,5,0,0,1,2,0
13358,-1,0,1,3,5,7,0,10,10,5,0,0,1,2,0
13368,-1,0,1,3,4,7,0,7,5,5,0,0,1,2,0
13386,-1,0,1,3,4,7,0,7,12,6,0,0,1,2,0
13407,-1,0,1,3,8,7,0,16,28,8,0,0,1,2,0
13413,-1,0,1,3,5,7,0,10,11,5,0,0,1,2,0
13416,1,0,1,6,6,7,0,7,5,5,0,0,1,2,1
13436,-1,0,1,3,4,7,0,7,4,5,0,0,1,2,1
13455,-1,0,0,5,27,0,0,2,2,13,0,0,0,0,13
13514,-1,0,1,3,6,7,0,7,4,6,0,0,1,3,1
13533,-1,0,1,6,10,7,0,7,4,6,0,0,1,2,2
13543,-1,0,1,3,4,7,0,8,8,5,0,0,1,2,0
13546,1,2,0,3,1,8,1,5,2,10,0,0,0,6,0
13557,-1,0,1,3,5,7,0,8,8,5,0,0,1,2,0
13561,-1,0,1,3,4,7,0,7,5,5,0,0,1,2,0
13575,-1,0,1,3,4,7,0,9,8,5,0,0,1,2,0
13583,-1,0,1,3,5,7,0,15,11,5,0,0,1,2,0
13587,-1,0,1,3,7,7,0,7,7,5,0,0,1,2,1
13599,-1,0,0,4,22,0,0,0,0,2,0,0,1,0,22
13612,-1,0,1,19,73,5,3,14,45,56,0,0,2,2,1
13613,-1,0,0,5,5,0,0,0,6,15,0,0,1,0,0
13615,-1,0,1,3,8,7,0,7,5,5,0,0,1,2,1
13617,1,0,1,5,4,8,0,7,5,5,0,0,1,2,0
13624,-1,0,1,3,4,7,0,7,4,10,0,0,1,2,1
13631,-1,0,1,3,4,7,0,7,4,10,0,0,1,2,1
13679,-1,0,1,3,5,7,0,9,8,9,0,0,1,2,0
13684,-1,0,1,3,5,7,0,9,8,9,0,0,1,2,0
13694,-1,0,1,3,5,7,0,9,8,9,0,0,1,2,0
13695,-1,0,1,3,10,7,0,21,6,20,0,0,1,2,1
13702,-1,0,1,3,5,7,0,9,8,9,0,0,1,2,0
13739,-1,0,1,19,26,11,0,11,20,13,0,0,1,2,1
13752,-1,0,0,0,1,0,0,4,0,1,0,0,0,0,1
13773,-1,0,1,19,31,9,0,22,33,19,0,0,1,2,0
14012,-1,0,1,3,11,7,0,7,7,5,0,0,1,2,1
14014,-1,0,1,3,4,7,0,11,7,5,0,0,1,2,0
14021,-1,0,1,7,11,7,0,7,8,5,0,0,1,2,1
14044,-1,0,1,3,12,7,0,7,4,5,0,0,1,2,3
14059,-1,0,0,5,1,0,0,6,1,12,0,0,0,0,1
14068,-1,0,1,5,9,7,0,7,11,7,0,0,1,2,0
14071,-1,0,1,7,6,11,0,8,12,4,0,0,1,2,0
14081,-1,0,2,20,16,9,0,11,28,14,0,0,1,7,0
14083,1,0,2,18,19,16,0,12,36,22,0,0,1,3,0
14086,1,0,4,25,20,13,0,16,31,19,0,0,1,2,0
14089,-1,0,1,7,13,10,0,11,5,7,0,0,1,2,2
14100,-1,0,1,21,34,11,0,13,32,16,0,0,1,2,1
14107,-1,0,0,1,2,1,0,1,0,1,0,0,0,6,2
14120,1,0,2,5,4,8,0,7,4,5,0,0,1,2,1
14124,-1,0,1,3,6,7,0,7,6,4,0,0,1,2,1
14136,-1,0,3,13,135,38,51,36,30,105,0,0,1,7,4
14168,-1,0,1,4,9,9,0,8,5,5,0,0,1,2,1
14184,-1,0,1,4,4,7,0,7,4,5,0,0,1,2,1
14196,1,0,1,6,6,7,0,7,5,5,0,0,1,2,1
14198,-1,0,1,3,4,7,0,8,5,5,0,0,1,2,0
14200,-1,0,1,3,6,7,0,7,6,4,0,0,1,2,1
14206,1,0,1,5,7,8,0,13,20,8,0,0,1,3,0
14210,1,0,1,5,4,8,0,9,5,5,0,0,1,2,0
14214,1,0,1,5,4,8,0,7,5,5,0,0,1,2,0
14215,1,0,1,5,4,8,0,9,5,5,0,0,1,2,0
14218,1,0,1,5,4,8,0,7,5,5,0,0,1,2,0
14221,-1,0,1,3,5,7,0,7,5,5,0,0,1,2,1
14245,1,0,1,5,5,8,0,7,5,5,0,0,1,2,1
14246,-1,0,1,3,5,7,0,7,5,5,0,0,1,2,1
14247,-1,0,1,3,4,7,0,7,4,5,0,0,1,2,1
14249,-1,0,1,3,4,7,0,7,4,5,0,0,1,2,1
14252,-1,0,1,3,4,7,0,10,4,5,0,0,1,2,1
14253,1,0,1,5,5,8,0,7,5,5,0,0,1,2,1
14277,-1,0,1,3,4,7,0,7,15,5,0,0,1,6,0
14295,-1,0,1,7,7,7,0,11,7,5,0,0,1,2,1
14299,-1,0,1,9,13,7,0,7,4,6,0,0,1,2,3
14302,-1,0,1,6,4,7,0,7,4,5,0,0,1,3,1
14311,-1,0,1,12,16,9,0,8,6,5,0,0,1,2,2
14385,-1,0,2,12,7,15,0,8,8,5,0,0,1,2,0
14396,1,1,1,5,5,9,0,7,9,5,0,0,1,5,0
14399,1,1,1,5,5,9,0,7,9,5,0,0,1,5,0
14404,-1,0,1,3,4,7,0,7,4,5,0,0,1,2,1
14418,-1,0,2,7,4,10,0,8,9,4,0,0,1,2,0
14435,-1,0,1,3,4,7,0,7,4,5,0,0,1,2,1
14437,1,0,2,11,7,11,0,8,10,5,0,0,1,4,0
14446,-1,0,1,4,5,7,0,7,6,5,0,0,1,2,0
14452,-1,0,1,4,5,7,0,7,7,5,0,0,1,2,0
14479,-1,0,4,11,8,14,0,8,13,5,0,0,1,2,0
14518,-1,0,0,1,0,0,1,1,4,1,0,0,0,0,0
14526,-1,0,1,3,6,7,0,7,4,5,0,0,1,2,1
14535,2,0,13,70,25,59,0,19,61,11,0,0,1,4,0
14556,-1,0,1,3,4,7,0,7,5,5,0,0,1,2,0
14568,-1,0,1,3,5,7,0,8,7,5,0,0,1,2,0
14573,-1,0,2,17,20,19,0,17,42,14,0,0,1,2,0
14576,2,0,8,42,12,33,0,11,44,15,0,0,1,2,0
14577,2,0,8,42,12,33,0,11,41,14,0,0,1,2,0
14580,2,0,4,29,19,25,0,11,43,19,0,0,1,4,0
14581,2,0,4,29,22,23,0,10,49,17,0,0,1,4,0
14588,2,0,8,25,27,15,0,20,44,18,0,0,1,4,0
14687,-1,0,0,1,1,2,0,7,0,0,0,0,0,1,1
15298,-1,0,0,9,32,0,0,2,0,3,0,0,0,2,32
15384,-1,0,0,0,0,0,0,0,0,22,0,0,0,1,0
15529,-1,0,2,2,2,2,0,8,1,7,0,3,0,0,2
15589,-1,0,0,24,109,1,1,20,3,19,0,2,0,1,36
15840,2,2,1,33,40,3,25,5,20,17,0,0,0,114,2
15843,2,1,0,24,32,2,23,6,17,13,0,0,0,62,1
17931,-1,0,0,5,0,1,0,1,0,1,0,0,0,5,0
18037,-1,0,0,6,1,1,0,2,1,1,0,0,0,7,1
18550,-1,0,0,2,0,1,0,2,0,4,0,0,0,3,0
18573,2,1,0,2,0,3,4,0,3,4,0,0,0,13,0
18590,-1,0,0,1,0,7,0,4,7,16,0,0,1,1,0
18610,1,1,2,1,0,2,8,0,2,4,0,0,0,4,0
18611,1,1,2,1,0,3,7,0,1,4,0,0,0,6,0
18973,2,1,0,0,1,4,2,3,26,1,1,2,0,30,0
19009,-1,0,0,0,4,0,0,2,1,1,0,0,0,1,4
19085,1,1,0,2,1,0,1,1,0,4,0,1,0,6,1
19087,1,1,0,1,0,0,2,2,1,4,0,0,0,6,0
19101,1,1,0,2,1,0,0,1,1,4,0,1,0,4,1
19135,2,1,1,0,1,4,2,3,46,1,1,1,0,47,0
19142,-1,1,0,0,1,0,0,1,10,1,0,3,0,4,0
19442,-1,0,0,0,4,0,0,2,1,1,0,0,0,1,4
19447,-1,0,0,0,4,0,0,2,1,1,0,0,0,1,4
19744,-1,0,0,0,3,0,0,3,7,1,0,1,0,1,0
20019,-1,0,0,0,0,0,2,1,0,5,0,0,0,2,0
20040,-1,0,0,0,0,0,2,0,0,5,0,0,0,2,0
20389,-1,0,0,0,0,5,0,1,0,10,0,4,0,0,0
21139,-1,0,0,3,0,0,0,4,1,16,0,1,0,4,0
21317,-1,0,0,6,0,0,0,0,0,8,0,2,0,2,0
21396,-1,0,0,2,0,0,0,1,0,9,0,1,0,2,0
21416,-1,0,1,5,3,5,0,1,0,4,0,0,0,0,3
21440,-1,0,0,0,0,1,0,2,0,2,0,0,0,0,0
21446,-1,0,0,2,0,8,2,1,1,9,0,1,0,3,0
21565,-1,0,0,0,0,0,0,1,0,7,0,1,0,1,0
21645,-1,0,0,0,0,1,16,1,0,6,0,0,0,1,0
21675,2,1,0,2,1,3,13,2,13,5,0,1,0,3,0
21819,-1,0,0,2,0,0,0,1,0,6,0,0,0,1,0
21872,-1,0,1,3,1,1,0,2,0,6,0,0,0,1,1
21896,-1,0,0,1,1,0,0,0,0,1,0,0,0,1,1
